 URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEO
https://www.medstarhealth.org/services/service-alphabetic-page?character=T,29,92,75,50,36,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=U,31,92,75,50,29,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=V,26,92,75,50,29,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=W,28,92,75,50,28,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=Z,30,92,75,50,37,92,75,50
https://www.medstarhealth.org/mymedstar-patient-portal/proxy-access,32,92,75,64,33,92,75,64
https://www.medstarhealth.org/mymedstar-patient-portal/faqs,36,92,75,57,30,92,75,57
https://www.medstarhealth.org/mymedstar-patient-portal/request-an-id,31,93,67,57,22,93,67,57
https://www.medstarhealth.org/innovation-and-research/performance-improvement,38,93,75,64,40,93,75,64
https://www.medstarhealth.org/education/gme-application-process,40,89,67,64,39,89,67,64
https://www.medstarhealth.org/education/gme-salary-and-benefits,38,91,67,64,36,91,67,64
https://www.medstarhealth.org/education/faculty-development,34,93,75,57,25,93,75,57
https://www.medstarhealth.org/education/medical-student-programs,24,90,75,57,31,90,75,57
https://www.medstarhealth.org/education/other-educational-programs,38,93,75,57,45,93,75,57
https://www.medstarhealth.org/education/resident-and-fellow-leadership,30,93,75,64,31,93,75,64
https://www.medstarhealth.org/education/medical-education-leadership,45,93,75,64,31,93,75,64
https://www.medstarhealth.org/education/graduate-medical-education-staff,28,93,75,64,28,93,75,64
https://www.medstarhealth.org/education/graduate-medical-education-faqs,45,93,75,64,42,93,75,64
https://www.medstarhealth.org/education/graduate-medical-education-onboarding-instructions,41,93,75,64,40,93,75,64
https://www.medstarhealth.org/education/contact-us,42,93,75,64,33,93,75,64
https://www.medstarhealth.org/education/faqs,45,93,75,57,28,93,75,57
https://www.medstarhealth.org/education/program-directors-resources,32,93,67,64,28,93,67,64
https://www.medstarhealth.org/-/media/project/mho/medstar/pdf/medstar-health-consolidated-billing-2021.pdf,NA ,NA ,NANANA ,NA ,NANAundefined,,,
https://www.medstarhealth.org/locations/medstar-national-rehabilitation-hospital,15,88,67,50,16,88,67,50
https://www.medstarhealth.org/about/medstar-health-history,32,93,75,64,40,93,75,64
https://www.medstarhealth.org/about/our-hospitals,30,93,75,50,25,93,75,50
https://www.medstarhealth.org/about/medstar-health-leadership,27,93,75,64,30,93,75,64
https://www.medstarhealth.org/about/medstar-health-board-of-directors,30,93,75,64,31,93,75,64
https://www.medstarhealth.org/about/medstar-health-awards-and-recognitions,34,91,75,64,30,91,75,64
https://www.medstarhealth.org/about/care-transformation-organization,36,93,75,64,28,93,75,64
https://www.medstarhealth.org/about/facts-and-figures,43,92,75,64,31,92,75,64
https://www.medstarhealth.org/about/clinical-care-transformation,20,93,58,50,23,93,58,50
https://www.medstarhealth.org/news-and-publications/patient-stories-and-testimonials,23,79,67,57,22,79,67,57
https://www.medstarhealth.org/news-and-publications/community-health-reports,30,88,58,64,44,88,58,64
https://www.medstarhealth.org/for-healthcare-professionals/medstar-medical-group,40,90,75,64,26,90,75,64
https://www.medstarhealth.org/for-healthcare-professionals/physician-benefits-and-opportunities,27,93,75,64,19,93,75,64
https://www.medstarhealth.org/for-healthcare-professionals/physician-well-being-programs-and-resources,26,89,67,50,34,89,67,50
https://www.medstarhealth.org/for-healthcare-professionals/physician-well-being-concierge-service,39,94,75,64,28,94,75,64
https://www.medstarhealth.org/for-healthcare-professionals/patient-family-advisory-council-for-quality-safety,23,93,67,50,22,93,67,50
https://www.medstarhealth.org/for-healthcare-professionals/make-a-referral,27,93,67,50,25,93,67,50
https://www.medstarhealth.org/for-healthcare-professionals/medstar-emergency-room-physicians,35,87,75,50,26,87,75,50
https://www.medstarhealth.org/services/nursing,25,84,67,57,35,84,67,57
https://www.medstarhealth.org/for-healthcare-professionals/provider-credentialing,29,91,75,57,44,91,75,57
https://www.medstarhealth.org/news-and-publications/media-contacts,32,92,75,64,28,92,75,64
https://www.medstarhealth.org/news-and-publications/articles-and-research-reports,31,79,75,57,44,79,75,57
https://www.medstarhealth.org/blog/provider-credential-abbreviations,21,75,67,57,27,75,67,57
https://www.medstarhealth.org/blog/author-profile/jeffrey-dubin-md,29,79,67,50,29,79,67,50
https://www.medstarhealth.org/services/covid-19-info,31,78,67,57,30,78,67,57
https://www.medstarhealth.org/Error%20-%20404,32,90,75,57,45,90,75,57
https://www.medstarhealth.org/innovation-and-research/medstar-health-research-institute/annual-research-symposium/about-us,36,94,75,57,27,94,75,57
https://www.medstarhealth.org/services/running-injury-clinic,28,93,67,64,30,93,67,64
https://www.medstarhealth.org/blog/treating-sleep-apnea,27,75,67,57,27,75,67,57
https://www.medstarhealth.org/blog/endometrial-cancer-disparities,27,75,67,50,21,75,67,50
https://www.medstarhealth.org/blog/author-profile/charlotte-gamble-md,37,79,67,50,30,79,67,50
https://www.medstarhealth.org/blog/stiff-person-syndrome,21,75,67,57,26,75,67,57
https://www.medstarhealth.org/blog/author-profile/nicholas-samuel-streicher-md-mph,28,79,67,50,28,79,67,50
https://www.medstarhealth.org/blog/asian-american-lung-cancer,28,77,67,50,26,77,67,50
https://www.medstarhealth.org/blog/author-profile/john-f-lazar-md,28,79,58,50,29,79,58,50
https://www.medstarhealth.org/blog/fingernail-toenail-dermatology,26,75,67,57,25,75,67,57
https://www.medstarhealth.org/blog/author-profile/thomas-stringer-md,23,79,67,50,26,79,67,50
https://www.medstarhealth.org/blog/1,26,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/2,21,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/3,21,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/4,25,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/5,20,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/6,20,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/7,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/8,26,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/9,20,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/10,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/11,25,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/12,16,72,67,57,16,72,67,57
https://www.medstarhealth.org/blog/13,26,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/14,24,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/15,23,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/16,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/17,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/18,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/19,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/20,22,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/21,20,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/22,20,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/23,24,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/24,24,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/25,26,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/26,22,72,67,57,27,72,67,57
https://www.medstarhealth.org/blog/27,20,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/28,24,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/29,25,72,67,57,27,72,67,57
https://www.medstarhealth.org/blog/30,23,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/31,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/32,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/33,22,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/34,23,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/35,26,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/36,21,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/37,22,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/38,25,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/39,25,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/40,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/41,25,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/42,24,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/43,21,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/44,16,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/45,23,72,67,57,16,72,67,57
https://www.medstarhealth.org/blog/46,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/47,24,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/48,25,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/49,25,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/50,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/51,20,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/52,21,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/53,22,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/54,22,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/55,24,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/56,16,72,67,57,16,72,67,57
https://www.medstarhealth.org/blog/57,24,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/58,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/59,26,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/60,26,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/61,25,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/62,21,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/63,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/64,24,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/65,25,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/66,22,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/67,24,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/68,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/69,25,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/70,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/71,22,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/72,27,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/73,26,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/74,21,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/75,21,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/76,25,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/77,23,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/78,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/79,24,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/80,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/81,21,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/82,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/83,20,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/84,20,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/85,23,72,67,50,22,72,67,57
https://www.medstarhealth.org/blog/86,21,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/87,27,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/88,22,72,67,57,19,72,67,57
https://www.medstarhealth.org/blog/89,20,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/90,19,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/91,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/92,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/93,25,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/94,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/95,25,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/96,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/97,26,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/98,24,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/99,21,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/100,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/101,25,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/102,24,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/103,25,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/104,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/105,20,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/106,25,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/107,24,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/108,25,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/109,23,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/110,24,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/111,27,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/112,21,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/113,21,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/114,25,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/115,26,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/116,25,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/117,24,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/118,25,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/119,21,72,67,57,26,72,67,57
https://www.medstarhealth.org/blog/120,24,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/121,24,72,67,57,24,72,67,57
https://www.medstarhealth.org/blog/122,26,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/123,21,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/124,26,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/125,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/126,26,72,67,57,25,72,67,57
