 URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEOundefined
https://www.medstarhealth.org/services/dermatology,32,93,75,50,30,93,75,50,undefined
https://www.medstarhealth.org/services/diabetes-and-endocrinology,24,90,67,64,25,90,67,64,undefined
https://www.medstarhealth.org/services/primary-care,36,92,75,56.99999999999999,20,92,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/bariatrics,30,90,67,56.99999999999999,28.999999999999996,90,67,56.99999999999999,undefined
https://www.medstarhealth.org/services/plastic-surgery,25,89,67,64,28.000000000000004,89,67,64,undefined
https://www.medstarhealth.org/services/anesthesiology,28.999999999999996,92,75,56.99999999999999,41,92,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/audiology,30,93,75,64,30,93,75,64,undefined
https://www.medstarhealth.org/services/bloodless-medicine-and-surgery,31,84,67,64,33,84,67,64,undefined
https://www.medstarhealth.org/services/breast-cancer,23,89,67,50,24,89,67,50,undefined
https://www.medstarhealth.org/services/breast-health-program,30,93,75,56.99999999999999,31,93,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/chronic-kidney-disease,40,93,75,64,33,93,75,64,undefined
https://www.medstarhealth.org/services/colorectal-surgery,31,93,75,50,30,93,75,50,undefined
https://www.medstarhealth.org/services/covid-recovery-program,24,85,57.99999999999999,50,24,85,57.99999999999999,50,undefined
https://www.medstarhealth.org/services/ear-nose-and-throat-otolaryngology,24,90,67,50,25,90,67,50,undefined
https://www.medstarhealth.org/services/emergency,25,93,67,64,23,93,67,64,undefined
https://www.medstarhealth.org/services/epilepsy-diagnosis-and-treatments,24,93,67,56.99999999999999,26,93,67,56.99999999999999,undefined
https://www.medstarhealth.org/services/telehealth/evisit,25,91,67,56.99999999999999,27,91,67,56.99999999999999,undefined
https://www.medstarhealth.org/services/endoscopy,32,93,75,56.99999999999999,31,93,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/family-medicine,32,93,75,64,35,93,75,64,undefined
https://www.medstarhealth.org/services/geriatrics,20,90,67,50,23,90,67,50,undefined
https://www.medstarhealth.org/services/general-surgery,28.000000000000004,93,75,56.99999999999999,32,93,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/gastrointestinal-cancers,25,90,75,50,39,90,75,50,undefined
https://www.medstarhealth.org/services/gynecology,30,93,75,64,31,93,75,64,undefined
https://www.medstarhealth.org/services/hand-and-upper-extremity,30,93,75,64,32,93,75,64,undefined
https://www.medstarhealth.org/services/hemorrhagic-stroke,30,93,75,64,44,93,75,64,undefined
https://www.medstarhealth.org/services/hospice-care,40,93,75,50,30,93,75,50,undefined
https://www.medstarhealth.org/services/hospitalist,32,92,75,64,32,92,75,64,undefined
https://www.medstarhealth.org/services/home-care,22,92,57.99999999999999,50,26,92,57.99999999999999,50,undefined
https://www.medstarhealth.org/services/hand-pain,35,90,75,56.99999999999999,36,90,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/intensive-care,30,93,75,64,40,93,75,64,undefined
https://www.medstarhealth.org/services/inpatient-rehabilitation,28.999999999999996,88,57.99999999999999,50,42,88,57.99999999999999,50,undefined
https://www.medstarhealth.org/services/interventional-radiology,26,91,67,50,24,91,67,50,undefined
https://www.medstarhealth.org/services/lung-cancer,24,89,67,50,27,89,67,50,undefined
